run,messages,batch_size,plugin_config,name,avg_byte_throughput,max_arena_size,max_in_use_size,max_mmap_size,close_time
0,mixed,small,mcap_nochunking,run=0;messages=mixed;batch_size=small;plugin_config=mcap_nochunking,320389839.8661763,0,29424,0,0.000263559
0,mixed,small,sqlite_default,run=0;messages=mixed;batch_size=small;plugin_config=sqlite_default,50025790.70505755,3276800,2167216,0,0.000157299
0,mixed,small,sqlite_resilient,run=0;messages=mixed;batch_size=small;plugin_config=sqlite_resilient,42329943.95152528,3276800,2161152,0,0.005737572
0,mixed,default,mcap_default,run=0;messages=mixed;batch_size=default;plugin_config=mcap_default,84895608.23959403,9543680,5062000,0,0.001199238
0,mixed,default,mcap_uncompressed,run=0;messages=mixed;batch_size=default;plugin_config=mcap_uncompressed,83050366.56819382,5251072,1919552,0,0.001332649
0,mixed,default,mcap_nocrc,run=0;messages=mixed;batch_size=default;plugin_config=mcap_nocrc,295771665.6559821,5255168,1920272,0,0.00140474
0,mixed,default,mcap_nochunking,run=0;messages=mixed;batch_size=default;plugin_config=mcap_nochunking,827200544.8409396,0,29664,0,0.000257522
0,mixed,default,sqlite_default,run=0;messages=mixed;batch_size=default;plugin_config=sqlite_default,283285305.6535393,3227648,2167472,0,0.000134751
0,mixed,default,sqlite_resilient,run=0;messages=mixed;batch_size=default;plugin_config=sqlite_resilient,88147775.24320337,3227648,2161488,0,0.005737589
1,large,small,mcap_default,run=1;messages=large;batch_size=small;plugin_config=mcap_default,114443485.64419809,999424,1101888,2367488,0.000711532
1,large,small,mcap_uncompressed,run=1;messages=large;batch_size=small;plugin_config=mcap_uncompressed,106260680.15959997,1003520,1102752,0,0.000587393
1,large,small,mcap_nocrc,run=1;messages=large;batch_size=small;plugin_config=mcap_nocrc,1227182895.0579674,999424,1103216,0,0.000584234
1,large,small,mcap_nochunking,run=1;messages=large;batch_size=small;plugin_config=mcap_nochunking,1610126337.966244,0,28784,0,0.0002612
1,large,small,sqlite_default,run=1;messages=large;batch_size=small;plugin_config=sqlite_default,863171798.4870872,1134592,2167136,0,0.000138436
1,large,small,sqlite_resilient,run=1;messages=large;batch_size=small;plugin_config=sqlite_resilient,339140791.3762128,1134592,2161520,0,0.002066874
1,large,default,mcap_default,run=1;messages=large;batch_size=default;plugin_config=mcap_default,114642931.21758318,999424,1101888,2367488,0.00067689
1,large,default,mcap_uncompressed,run=1;messages=large;batch_size=default;plugin_config=mcap_uncompressed,113150604.20300162,1003520,1102752,0,0.000581949
1,large,default,mcap_nocrc,run=1;messages=large;batch_size=default;plugin_config=mcap_nocrc,1198153586.6699445,999424,1103216,0,0.000602128
1,large,default,mcap_nochunking,run=1;messages=large;batch_size=default;plugin_config=mcap_nochunking,1579404645.5384598,0,28784,0,0.00028818
1,large,default,sqlite_default,run=1;messages=large;batch_size=default;plugin_config=sqlite_default,927795113.706918,1134592,2167136,0,0.000166596
1,large,default,sqlite_resilient,run=1;messages=large;batch_size=default;plugin_config=sqlite_resilient,113683809.99997003,1134592,2161488,0,0.002329772
1,medium,small,mcap_default,run=1;messages=medium;batch_size=small;plugin_config=mcap_default,118056889.3847809,0,150160,3727360,0.000920903
1,medium,small,mcap_uncompressed,run=1;messages=medium;batch_size=small;plugin_config=mcap_uncompressed,117513825.65902485,606208,351264,1286144,0.001003191
1,medium,small,mcap_nocrc,run=1;messages=medium;batch_size=small;plugin_config=mcap_nocrc,2704992509.101214,610304,351744,1286144,0.00097775
1,medium,small,mcap_nochunking,run=1;messages=medium;batch_size=small;plugin_config=mcap_nochunking,1166560457.4095056,0,28720,0,0.00026573
1,medium,small,sqlite_default,run=1;messages=medium;batch_size=small;plugin_config=sqlite_default,200196375.5425042,2162688,2166928,0,0.00027182
1,medium,small,sqlite_resilient,run=1;messages=medium;batch_size=small;plugin_config=sqlite_resilient,154268563.4320948,2031616,2161584,0,0.008805918
1,medium,default,mcap_default,run=1;messages=medium;batch_size=default;plugin_config=mcap_default,115825239.51073863,159744,148112,3727360,0.000897651
1,medium,default,mcap_uncompressed,run=1;messages=medium;batch_size=default;plugin_config=mcap_uncompressed,111486547.34388155,274432,149120,1286144,0.001066573
1,medium,default,mcap_nocrc,run=1;messages=medium;batch_size=default;plugin_config=mcap_nocrc,1046329672.5161657,409600,149712,1286144,0.000932769
1,medium,default,mcap_nochunking,run=1;messages=medium;batch_size=default;plugin_config=mcap_nochunking,1133212174.3752177,0,28848,0,0.000262936
1,medium,default,sqlite_default,run=1;messages=medium;batch_size=default;plugin_config=sqlite_default,695661537.4900272,2207744,2167520,0,0.000248266
1,medium,default,sqlite_resilient,run=1;messages=medium;batch_size=default;plugin_config=sqlite_resilient,96682564.19277416,2220032,2161648,0,0.002064208
1,small,small,mcap_default,run=1;messages=small;batch_size=small;plugin_config=mcap_default,27821334.62709961,5586944,4015008,0,0.001178963
1,small,small,mcap_uncompressed,run=1;messages=small;batch_size=small;plugin_config=mcap_uncompressed,27850743.081744105,2158592,1367664,0,0.001222797
1,small,small,mcap_nocrc,run=1;messages=small;batch_size=small;plugin_config=mcap_nocrc,40847234.11488868,2162688,1368048,0,0.00129918
1,small,small,mcap_nochunking,run=1;messages=small;batch_size=small;plugin_config=mcap_nochunking,174443841.4478823,0,29168,0,0.000291832
1,small,small,sqlite_default,run=1;messages=small;batch_size=small;plugin_config=sqlite_default,16945414.923953336,2199552,2166704,0,0.000165325
1,small,small,sqlite_resilient,run=1;messages=small;batch_size=small;plugin_config=sqlite_resilient,17619139.19961376,2187264,2161200,0,0.008339235
1,small,default,mcap_default,run=1;messages=small;batch_size=default;plugin_config=mcap_default,27230863.714795247,5566464,4012704,0,0.001171919
1,small,default,mcap_uncompressed,run=1;messages=small;batch_size=default;plugin_config=mcap_uncompressed,26822600.379455347,2162688,1365312,0,0.001200964
1,small,default,mcap_nocrc,run=1;messages=small;batch_size=default;plugin_config=mcap_nocrc,38500862.194272615,2162688,1365552,0,0.001283385
1,small,default,mcap_nochunking,run=1;messages=small;batch_size=default;plugin_config=mcap_nochunking,175469984.67719948,0,29168,0,0.000264381
1,small,default,sqlite_default,run=1;messages=small;batch_size=default;plugin_config=sqlite_default,42244290.921838336,2191360,2166704,0,0.000145623
1,small,default,sqlite_resilient,run=1;messages=small;batch_size=default;plugin_config=sqlite_resilient,30955800.86851769,2207744,2161200,0,0.0019846
1,mixed,small,mcap_default,run=1;messages=mixed;batch_size=small;plugin_config=mcap_default,42135280.47876311,9547776,5094048,0,0.001307592
1,mixed,small,mcap_uncompressed,run=1;messages=mixed;batch_size=small;plugin_config=mcap_uncompressed,42080528.30880539,5283840,1951712,0,0.001488703
1,mixed,small,mcap_nocrc,run=1;messages=mixed;batch_size=small;plugin_config=mcap_nocrc,210101774.47122172,5283840,1952384,0,0.001389772
1,mixed,small,mcap_nochunking,run=1;messages=mixed;batch_size=small;plugin_config=mcap_nochunking,317502536.00042087,0,29424,0,0.000264022
1,mixed,small,sqlite_default,run=1;messages=mixed;batch_size=small;plugin_config=sqlite_default,49659205.670657694,3276800,2167216,0,0.000156192
1,mixed,small,sqlite_resilient,run=1;messages=mixed;batch_size=small;plugin_config=sqlite_resilient,43455781.624976635,3276800,2161152,0,0.007467047
1,mixed,default,mcap_default,run=1;messages=mixed;batch_size=default;plugin_config=mcap_default,84689593.30505782,9543680,5062000,0,0.001195743
1,mixed,default,mcap_uncompressed,run=1;messages=mixed;batch_size=default;plugin_config=mcap_uncompressed,83081249.1844772,5251072,1919552,0,0.001362974
1,mixed,default,mcap_nocrc,run=1;messages=mixed;batch_size=default;plugin_config=mcap_nocrc,295380393.1480123,5255168,1920272,0,0.001356808
1,mixed,default,mcap_nochunking,run=1;messages=mixed;batch_size=default;plugin_config=mcap_nochunking,822624393.9951167,0,29664,0,0.000291503
1,mixed,default,sqlite_default,run=1;messages=mixed;batch_size=default;plugin_config=sqlite_default,282854433.067911,3227648,2167472,0,0.000162903
1,mixed,default,sqlite_resilient,run=1;messages=mixed;batch_size=default;plugin_config=sqlite_resilient,76317613.31469037,3227648,2161488,0,0.009119641
2,large,small,mcap_default,run=2;messages=large;batch_size=small;plugin_config=mcap_default,114590349.64234613,999424,1101888,2367488,0.000673139
2,large,small,mcap_uncompressed,run=2;messages=large;batch_size=small;plugin_config=mcap_uncompressed,112402772.74360825,1003520,1102752,0,0.000602004
2,large,small,mcap_nocrc,run=2;messages=large;batch_size=small;plugin_config=mcap_nocrc,1226472700.8392413,999424,1103216,0,0.000601725
2,large,small,mcap_nochunking,run=2;messages=large;batch_size=small;plugin_config=mcap_nochunking,1608736862.7328,0,28784,0,0.000269452
2,large,small,sqlite_default,run=2;messages=large;batch_size=small;plugin_config=sqlite_default,822978149.4240938,1134592,2167136,0,0.000139954
2,large,small,sqlite_resilient,run=2;messages=large;batch_size=small;plugin_config=sqlite_resilient,368512963.9489306,1134592,2161520,0,0.002299354
2,large,default,mcap_default,run=2;messages=large;batch_size=default;plugin_config=mcap_default,113712626.09474252,999424,1101888,2367488,0.000679293
2,large,default,mcap_uncompressed,run=2;messages=large;batch_size=default;plugin_config=mcap_uncompressed,112524290.76690747,1003520,1102752,0,0.000587184
2,large,default,mcap_nocrc,run=2;messages=large;batch_size=default;plugin_config=mcap_nocrc,1204359719.8862383,999424,1103216,0,0.000621134
2,large,default,mcap_nochunking,run=2;messages=large;batch_size=default;plugin_config=mcap_nochunking,1577111524.934082,0,28784,0,0.000302325
2,large,default,sqlite_default,run=2;messages=large;batch_size=default;plugin_config=sqlite_default,833382105.8139887,1134592,2167136,0,0.000146347
2,large,default,sqlite_resilient,run=2;messages=large;batch_size=default;plugin_config=sqlite_resilient,115603907.0864227,1134592,2161488,0,0.002569841
2,medium,small,mcap_default,run=2;messages=medium;batch_size=small;plugin_config=mcap_default,117848162.0884042,0,150160,3727360,0.000960318
2,medium,small,mcap_uncompressed,run=2;messages=medium;batch_size=small;plugin_config=mcap_uncompressed,117710113.8283094,606208,351264,1286144,0.001020837
2,medium,small,mcap_nocrc,run=2;messages=medium;batch_size=small;plugin_config=mcap_nocrc,2711654003.8651175,610304,351744,1286144,0.000940354
2,medium,small,mcap_nochunking,run=2;messages=medium;batch_size=small;plugin_config=mcap_nochunking,1165994314.0510552,0,28720,0,0.000266576
